feature,importance_mean,group
skip_rate,0.0059034810118222866,Early
IA_FIRST_RUN_FIXATION_COUNT_std,0.00535550413558917,Early
IA_FIRST_RUN_FIXATION_COUNT_mean,0.004830769888288357,Early
IA_REGRESSION_IN_COUNT_mean,0.00443785283626877,Late
IA_FIRST_FIXATION_DURATION_std,0.004295559457131451,Early
IA_FIRST_RUN_DWELL_TIME_std,0.0030194318772246097,Early
IA_DWELL_TIME_max,0.002706299143240876,Late
IA_REGRESSION_OUT_COUNT_std,0.002433018523438449,Late
IA_DWELL_TIME_std,0.0021869842092011524,Late
IA_REGRESSION_OUT_COUNT_max,0.0017863400622835882,Late
IA_RUN_COUNT_max,0.0016617036338363947,Late
IA_FIRST_RUN_DWELL_TIME_max,0.0014280335453750314,Early
IA_REGRESSION_IN_COUNT_max,0.0009222920364320619,Late
IA_LAST_RUN_DWELL_TIME_std,-0.00015700392322150707,Late
IA_LAST_RUN_DWELL_TIME_max,-0.00026566766332213797,Late
IA_FIRST_FIXATION_DURATION_mean,-0.0005158682636771817,Early
IA_REGRESSION_PATH_DURATION_mean,-0.0005274341451706,Late
IA_REGRESSION_OUT_COUNT_mean,-0.0008161872269377346,Late
difficulty_level,-0.0011415209624160883,Trial-level
IA_FIRST_FIXATION_DURATION_max,-0.001364565860681737,Early
IA_FIRST_RUN_FIXATION_COUNT_max,-0.0014671455663722078,Early
IA_FIRST_RUN_DWELL_TIME_mean,-0.0017482431095885652,Early
IA_REGRESSION_IN_COUNT_std,-0.002471928752154875,Late
IA_DWELL_TIME_mean,-0.0028558179940325968,Late
IA_LAST_RUN_DWELL_TIME_mean,-0.0030851722682334413,Late
IA_REGRESSION_PATH_DURATION_std,-0.0036806401594057805,Late
IA_REGRESSION_PATH_DURATION_max,-0.004138813866918604,Late
IA_RUN_COUNT_mean,-0.0055766140634123185,Late
PARAGRAPH_RT,-0.005906411650537138,Trial-level
IA_RUN_COUNT_std,-0.006082606048444244,Late
